text,translation,Category
@Bren1892 @Flight_Refunds @ffskennz @British_Airways its a european regulation it has nothing to do with which airl… https://t.co/TaIDF5AuFu,@Bren1892 @Flight_Refunds @ffskennz @British_Airways its a european regulation it has nothing to do with which airl… https://t.co/TaIDF5AuFu,in-flight experience
Cos’è successo al passeggero finito sul volo sbagliato? https://t.co/q3BqnvHlSq via @ilpost,What happened to the passenger who ended up on the wrong flight? https://t.co/q3BqnvHlSq via @ilpost,in-flight experience
"@ItsBenParks Hi Ben, we understand the wait isn't ideal. However, we require the information above so we can follow… https://t.co/LyPYImIaxa","@ItsBenParks Hi Ben, we understand the wait isn't ideal. However, we require the information above so we can follow… https://t.co/LyPYImIaxa",flight information requests
Промокоды KLM для полетов в Южную Америку https://t.co/zloUGcGYto,KLM promotional codes for flights to South America https://t.co/zloUGcGYto,in-flight experience
RT @EtihadAirways: A new adventure is taking flight. Where will yours be? #Etihad787 https://t.co/gTR0xqbJdl,RT @EtihadAirways: A new adventure is taking flight. Where will yours be? #Etihad787 https://t.co/gTR0xqbJdl,in-flight experience
I’m getting off a plane to get back on the same plane in 20 mins to sit in the same seat.  WTF @KLM,I’m getting off a plane to get back on the same plane in 20 mins to sit in the same seat.  WTF @KLM,seating and boarding challenges
"@SOTAbeams Don’t go with Ryanair, you’ll end up on Venus, with your luggage in Spain!","@SOTAbeams Don’t go with Ryanair, you’ll end up on Venus, with your luggage in Spain!",lost luggage
@British_Airways Also what is the point of landing 30 minutes early if you don’t have a baggage operation ready to take advantage of that?,@British_Airways Also what is the point of landing 30 minutes early if you don’t have a baggage operation ready to take advantage of that?,baggage issues
"@gregwhitworth I'm happy to hear you and your family enjoyed the flights, Greg! Have a great time in Italy! /Nes","@gregwhitworth I'm happy to hear you and your family enjoyed the flights, Greg! Have a great time in Italy! /Nes",in-flight experience
The ongoing lack of flights provided by @British_Airways on Aberdeen to London is really frustrating. I understand… https://t.co/TvHpPr8SbX,The ongoing lack of flights provided by @British_Airways on Aberdeen to London is really frustrating. I understand… https://t.co/TvHpPr8SbX,in-flight experience
RT @CurlingZone: Interesting to see @AmericanAir have updated their baggage policy on sports equipment to include travel with your curling…,RT @CurlingZone: Interesting to see @AmericanAir have updated their baggage policy on sports equipment to include travel with your curling…,baggage issues
"RT @ethan_iverson: Yeah @Delta, looking at you to get on board and show some love to the touring musicians!! https://t.co/XXm957FnBR","RT @ethan_iverson: Yeah @Delta, looking at you to get on board and show some love to the touring musicians!! https://t.co/XXm957FnBR",seating and boarding challenges
"RT @LaurynLeMadec: Genre g vu une offre chez Ryanair: Prague pour 25€ l'avion, c'est à slmt 1h30. Arrivé sur place à 10h et retour à charle…","RT @LaurynLeMadec: Like I saw an offer from Ryanair: Prague for 25€ the plane, it's about 1h30 away. Arrived there at 10 a.m. and returned to Charles…",promotion and offer issues
RT @Fauxlie_: @Bren1892 @Flight_Refunds @ffskennz @British_Airways its a european regulation it has nothing to do with which airline - its…,RT @Fauxlie_: @Bren1892 @Flight_Refunds @ffskennz @British_Airways its a european regulation it has nothing to do with which airline - its…,in-flight experience
"@easyJet never flown with you, but willing to try, especially after seeing your series of inside the cockpit. I wou… https://t.co/e4v2HPOFYs","@easyJet never flown with you, but willing to try, especially after seeing your series of inside the cockpit. I wou… https://t.co/e4v2HPOFYs",special assistance requests
Ryanair cambia di nuovo le regole per i bagagli | TTG Italia https://t.co/oEZpZevJ2O di @ttgitalia,Ryanair changes baggage rules again | TTG Italia https://t.co/oEZpZevJ2O by @ttgitalia,baggage issues
@groundland It doesn't sound like you've had the best experience with us. I'm sorry that you've had to suffer these… https://t.co/Fh9JZbVtoj,@groundland It doesn't sound like you've had the best experience with us. I'm sorry that you've had to suffer these… https://t.co/Fh9JZbVtoj,in-flight experience
"@RachelGarvey1 We're sorry you're having issues getting through to us, Rachel. Especially as we keep passing the bu… https://t.co/FyL1gaPVnW","@RachelGarvey1 We're sorry you're having issues getting through to us, Rachel. Especially as we keep passing the bu… https://t.co/FyL1gaPVnW",special assistance requests
RT @PaycentGlobal: Use your virtual #PaycentCard to book at @EtihadAirways @emirates @Delta @SingaporeAir @cathaypacific @Trip @united @Exp…,RT @PaycentGlobal: Use your virtual #PaycentCard to book at @EtihadAirways @emirates @Delta @SingaporeAir @cathaypacific @Trip @united @Exp…,booking problems
@Emmmma82 The airport on the day will reassign your seats so that you are seated together. A child under the age of… https://t.co/rxXmClrjGc,@Emmmma82 The airport on the day will reassign your seats so that you are seated together. A child under the age of… https://t.co/rxXmClrjGc,seating and boarding challenges
@bringthedoo Thanks for your feedback. We list the type of plane when you book your flight. Check the details by cl… https://t.co/qdM4pXXeUb,@bringthedoo Thanks for your feedback. We list the type of plane when you book your flight. Check the details by cl… https://t.co/qdM4pXXeUb,booking problems
"RT @dactersab: Me as a  parent 👨‍⚕️:

“Dad paise chahyen , KLM 
khareedni hei.”

 •Chitter comes•

*Chal bay BD parha kar*","RT @dactersab: Me as a parent 👨‍⚕️:

“Dad I want money, I have to buy KLM.”

•Chitter comes•

*Chal bay BD parha kar*",refund complaints
"@Qantas Wait? What wait??? Are you even listening.
Have a manager contact me by phone. This is terrible service.","@Qantas Wait? What wait??? Are you even listening.
Have a manager contact me by phone. This is terrible service.",customer service complaints
@AmericanAir : fight is overbooked would you mind taking another flight in 2 hrs and here is a $500US travel vouche… https://t.co/0hX5u3DjmP,@AmericanAir : fight is overbooked would you mind taking another flight in 2 hrs and here is a $500US travel vouche… https://t.co/0hX5u3DjmP,booking problems
Air traffic control strike to shut Scottish airports The carrier is adding extra services today and Friday to help… https://t.co/4PMunyGWKV,Air traffic control strike to shut Scottish airports The carrier is adding extra services today and Friday to help… https://t.co/4PMunyGWKV,customer service complaints
@theairhelper why do you claim you will get 600 euros per passenger per flight for 4 hour delays. Just had my payme… https://t.co/f6mB7u2ADK,@theairhelper why do you claim you will get 600 euros per passenger per flight for 4 hour delays. Just had my payme… https://t.co/f6mB7u2ADK,flight delays and cancellations
RT @RunVee2: Atterrati. Si accorge che si trova a Bari e non a Cagliari. 😂😂 #Ryanair volo Pisa - Bari https://t.co/yIHTk6GrUs,RT @RunVee2: Landed. He realizes that he is in Bari and not Cagliari. 😂😂 #Ryanair flight Pisa - Bari https://t.co/yIHTk6GrUs,in-flight experience
"@lufthansa Thank you Ella, As they were done wrong by on their flight on April 23, seated separated on a 12 hour fl… https://t.co/f30EB5qyIC","@lufthansa Thank you Ella, As they were done wrong by on their flight on April 23, seated separated on a 12 hour fl… https://t.co/f30EB5qyIC",seating and boarding challenges
"@asemota @British_Airways I think it's the attitude of most airlines, I had the same experience travelling with… https://t.co/Kxu3TFuyvO","@asemota @British_Airways I think it's the attitude of most airlines, I had the same experience travelling with… https://t.co/Kxu3TFuyvO",in-flight experience
RT @asemota: Why are the @British_Airways planes going to Accra filthy and old? This is a waste of money. https://t.co/PPBIzkbCUO,RT @asemota: Why are the @British_Airways planes going to Accra filthy and old? This is a waste of money. https://t.co/PPBIzkbCUO,refund complaints
"Also, I would like to say that @AmericanAir isn’t friendly to people with disabilities, especially invisible ones.… https://t.co/sjWu990Fx4","Also, I would like to say that @AmericanAir isn’t friendly to people with disabilities, especially invisible ones.… https://t.co/sjWu990Fx4",special assistance requests
"Ryanair Boeing 737NG 8AS/W (EI-EPC, #4CA911) as flight #RYR6WL at 36000 ft heading north west bound OTT #RyanHQ","Ryanair Boeing 737NG 8AS/W (EI-EPC, #4CA911) as flight #RYR6WL at 36000 ft heading north west bound OTT #RyanHQ",in-flight experience
RT @spotter_info: LDM14EO  EI-DPG B738 Ryanair Just landed at 2019-05-22 15:31:39.000 #LOWI #planespotting #planeinfo,RT @spotter_info: LDM14EO  EI-DPG B738 Ryanair Just landed at 2019-05-22 15:31:39.000 #LOWI #planespotting #planeinfo,flight information requests
RT @Lufthansa_India: Is your flight on time? What gate does your plane leave from? Get answers to these questions and more by chatting with…,RT @Lufthansa_India: Is your flight on time? What gate does your plane leave from? Get answers to these questions and more by chatting with…,in-flight experience
"RT @CltCurling: New @AmericanAir baggage policy is inclusive of #curling! In related news, whoever wrote said policy is either really funny…","RT @CltCurling: New @AmericanAir baggage policy is inclusive of #curling! In related news, whoever wrote said policy is either really funny…",baggage issues
@Ryanair £115 to change a surname on a €43 flight????,@Ryanair £115 to change a surname on a €43 flight????,in-flight experience
@Ryanair I booked under my maiden name instead of my married name?,@Ryanair I booked under my maiden name instead of my married name?,booking problems
"Ryanair Boeing 737NG 800/W (EI-FZP, #4CAB73) as flight #RYR55VM at 37000 ft heading east bound OTT north west of #RyanHQ","Ryanair Boeing 737NG 800/W (EI-FZP, #4CAB73) as flight #RYR55VM at 37000 ft heading east bound OTT north west of #RyanHQ",in-flight experience
I have honestly never experienced slower customer service in my life. Even Comcast doesn't blow you off this bad. @British_Airways,I have honestly never experienced slower customer service in my life. Even Comcast doesn't blow you off this bad. @British_Airways,customer service complaints
RT @WDamh1: @theairhelper why do you claim you will get 600 euros per passenger per flight for 4 hour delays. Just had my payment and it wa…,RT @WDamh1: @theairhelper why do you claim you will get 600 euros per passenger per flight for 4 hour delays. Just had my payment and it wa…,flight delays and cancellations
"""We see a huge shift from focus on product to focus on experience"". 
""Whilst we consume and rely on digital, we are… https://t.co/RaGSUvYsmh","""We see a huge shift from focus on product to focus on experience"". 
""Whilst we consume and rely on digital, we are… https://t.co/RaGSUvYsmh",in-flight experience
"Ryanair Boeing 737-8AS (SP-RSR, #48C230) as flight #RYR569G at 29825 ft heading east bound OTT north west of #RyanHQ","Ryanair Boeing 737-8AS (SP-RSR, #48C230) as flight #RYR569G at 29825 ft heading east bound OTT north west of #RyanHQ",in-flight experience
"RT @EditorFiveStar: ""We see a huge shift from focus on product to focus on experience"". 
""Whilst we consume and rely on digital, we are dri…","RT @EditorFiveStar: ""We see a huge shift from focus on product to focus on experience"". 
""Whilst we consume and rely on digital, we are dri…",in-flight experience
#nieuws: 'KLM Catering Schiphol Services had werkneemster niet mogen ontslaan'. Zie https://t.co/KLlO6JOvyz,#news: 'KLM Catering Schiphol Services should not have fired an employee'. See https://t.co/KLlO6JOvyz,customer service complaints
Fluggast stirbt an Bord einer Ryanair-Maschine https://t.co/SY4XG6khRP https://t.co/dpNLzBdNRd,Passenger dies on board a Ryanair plane https://t.co/SY4XG6khRP https://t.co/dpNLzBdNRd,seating and boarding challenges
"What happened to @SouthwestAir? Cancelling flights with no notice almost every time, not honoring A-list seating po… https://t.co/OGldRY4ifJ","What happened to @SouthwestAir? Cancelling flights with no notice almost every time, not honoring A-list seating po… https://t.co/OGldRY4ifJ",flight delays and cancellations
This is a business class on a #gatwickairport to #miami flight with @Fly_Norwegian operated by Privilage Style! Pay… https://t.co/wyMBzBGGVT,This is a business class on a #gatwickairport to #miami flight with @Fly_Norwegian operated by Privilage Style! Pay… https://t.co/wyMBzBGGVT,in-flight experience
RT @theFliegerFaust: #Lufthansa Technik: Readiness to offer cabin completions for the #Airbus #A220 - #VIP #VVIP #BusinessJet #bizjet #aero…,RT @theFliegerFaust: #Lufthansa Technik: Readiness to offer cabin completions for the #Airbus #A220 - #VIP #VVIP #BusinessJet #bizjet #aero…,promotion and offer issues
"RT @VirginAtlantic: Amazing news. We’re putting Mumbai back on our route map from 27th October 2019, with a daily service from @HeathrowAir…","RT @VirginAtlantic: Amazing news. We’re putting Mumbai back on our route map from 27th October 2019, with a daily service from @HeathrowAir…",customer service complaints
"@stargirlTT Unfortunately, we cannot send a boarding pass for your past dated flights.","@stargirlTT Unfortunately, we cannot send a boarding pass for your past dated flights.",check-in troubles
"RT @sandeeprrao1991: BREAKING:-
KLM to fly 3x weekly btw @BLRAirport and @Schiphol from winter schedule 2018/19 using Boeing 787-9 aircraft…","RT @sandeeprrao1991: BREAKING:-
KLM to fly 3x weekly btw @BLRAirport and @Schiphol from winter schedule 2018/19 using Boeing 787-9 aircraft…",flight information requests
"@richardbranson what’s happening to our lhr to Shanghai flight, mate? #noinfo #shouldhavestayedatbar @VirginAtlantic","@richardbranson what’s happening to our lhr to Shanghai flight, mate? #noinfo #shouldhavestayedatbar @VirginAtlantic",in-flight experience
@Sallysalster I don’t think Ryanair do WiFi. It’s a result if you get a seat,@Sallysalster I don’t think Ryanair do WiFi. It’s a result if you get a seat,seating and boarding challenges
@GhislainCAN @Ryanair Damn!  I recently heard from a friend that the security lines at TXL were being consolidated ... what a disaster...,@GhislainCAN @Ryanair Damn!  I recently heard from a friend that the security lines at TXL were being consolidated ... what a disaster...,safety and security concerns
@Qantas Yet they already have the info &amp; chose not to contact me as promised. Please just highlight with management… https://t.co/K8LM4CLbnb,@Qantas Yet they already have the info &amp; chose not to contact me as promised. Please just highlight with management… https://t.co/K8LM4CLbnb,flight information requests
"RT @bayareacurling: @AmericanAir updates baggage policy on sports equipment, still clearly doesn't understand #curling.
 https://t.co/es0ix…","RT @bayareacurling: @AmericanAir updates baggage policy on sports equipment, still clearly doesn't understand #curling.
 https://t.co/es0ix…",baggage issues
RT @BLRAviation: BREAKING: KLM to commence Amsterdam Bangalore flights https://t.co/etaLLFDN9Q,RT @BLRAviation: BREAKING: KLM to commence Amsterdam Bangalore flights https://t.co/etaLLFDN9Q,in-flight experience
Er på airfrance for at booke flybilletter og vupti får jeg en annonce fra (trommehvirvel) Airfrance på facebook.,I'm on airfrance to book flights and suddenly I get an ad from (drumroll) Airfrance on Facebook.,booking problems
"@British_Airways hi, i left a jacket (cream T Hilfiger raincoat) in BA308 from LHR to CDG today May 22nd, seat 15D,… https://t.co/GwhfaLzPqz","@British_Airways hi, i left a jacket (cream T Hilfiger raincoat) in BA308 from LHR to CDG today May 22nd, seat 15D,… https://t.co/GwhfaLzPqz",seating and boarding challenges
"Ryanair Boeing 737NG 8AS/W (EI-ENG, #4CA893) as flight #RYR2RN at 31025 ft heading south east bound OTT west of #RyanHQ","Ryanair Boeing 737NG 8AS/W (EI-ENG, #4CA893) as flight #RYR2RN at 31025 ft heading south east bound OTT west of #RyanHQ",in-flight experience
"RT @MorganMacQuarr1: If you come across this, please share! My son lost his best friend “Ducky travelling to #Melbourne #airport and is dev…","RT @MorganMacQuarr1: If you come across this, please share! My son lost his best friend “Ducky travelling to #Melbourne #airport and is dev…",lost luggage
@Steve3357 @AmericanAir Sorry to hear you’re having issues.  My flights were delayed to issues outside of weather a… https://t.co/ucHZoZTuPn,@Steve3357 @AmericanAir Sorry to hear you’re having issues.  My flights were delayed to issues outside of weather a… https://t.co/ucHZoZTuPn,flight delays and cancellations
La aerolínea Qantas opera el primer vuelo 🛫 de #ResiduoCero ♻ https://t.co/Ediwm5g8To vía @ResiduosPro,Qantas airline operates the first flight 🛫 of #ZeroWaste ♻ https://t.co/Ediwm5g8To via @ResiduosPro,in-flight experience
"Si vous voyagez avec Lufthansa, SWISS ou encore Austrian et que vous vous poser plusieurs questions d'ordre techniq… https://t.co/qeikywMAWM","If you are traveling with Lufthansa, SWISS or even Austrian and you have several technical questions… https://t.co/qeikywMAWM",technical difficulties
"RT @EditorFiveStar: ""We see a huge shift from focus on product to focus on experience"". 
""Whilst we consume and rely on digital, we are dri…","RT @EditorFiveStar: ""We see a huge shift from focus on product to focus on experience"". 
""Whilst we consume and rely on digital, we are dri…",in-flight experience
"@VirginAtlantic afternoon, do you provide bags at check in for car seats that go in the hold? Going GLA -MCO. Thanks","@VirginAtlantic afternoon, do you provide bags at check in for car seats that go in the hold? Going GLA -MCO. Thanks",seating and boarding challenges
"Ultra luxe! 9 dagen in 5*-spa resort in Thailand slechts €663 inclusief ontbijt, KLM-vluchten en transfers… https://t.co/fuLxlzGcMN","Ultra luxurious! 9 days in a 5* spa resort in Thailand only €663 including breakfast, KLM flights and transfers… https://t.co/fuLxlzGcMN",in-flight experience
"RT @BTSSpainn: Al elegir billete de avión, ambas decidimos seleccionar el asiento aleatorio para no pagar 20€ de más. Hoy he entrado para s…","RT @BTSSpainn: When choosing a plane ticket, we both decided to select the random seat so as not to pay €20 more. Today I entered for…",seating and boarding challenges
"@AndreaCrespoUK Hi Andrea, please see the following link for further information https://t.co/Kh1AuNbzGV. Barbara","@AndreaCrespoUK Hi Andrea, please see the following link for further information https://t.co/Kh1AuNbzGV. Barbara",flight information requests
"@klm last time I fly with you. Yesterday you accepted a booking with a 1 hr Schiphol transfer, then before the flig… https://t.co/9BJA8nMiao","@klm last time I fly with you. Yesterday you accepted a booking with a 1 hr Schiphol transfer, then before the flig… https://t.co/9BJA8nMiao",booking problems
Back #onboard this morning with @AmericanAir #thankyou for always being my #favorite #airline #travel #perks #loyalty #aamazing,Back #onboard this morning with @AmericanAir #thankyou for always being my #favorite #airline #travel #perks #loyalty #aamazing,seating and boarding challenges
@boylem24 @AerLingus €250 per person compensation if flight delayed for 3 hours or more. Got €1000 from Ryanair 2 y… https://t.co/8m9MAqIDBg,@boylem24 @AerLingus €250 per person compensation if flight delayed for 3 hours or more. Got €1000 from Ryanair 2 y… https://t.co/8m9MAqIDBg,flight delays and cancellations
"Ryanair Boeing 737NG 800/W (EI-GDH, #4CABB9) as flight #RYR7LV at 38000 ft heading north west bound OTT south east of #RyanHQ","Ryanair Boeing 737NG 800/W (EI-GDH, #4CABB9) as flight #RYR7LV at 38000 ft heading north west bound OTT south east of #RyanHQ",in-flight experience
@Ryanair can I take a ps4 on to a plane in my hand luggage? Cheers,@Ryanair can I take a ps4 on to a plane in my hand luggage? Cheers,lost luggage
"RT @astonbowles: @klm last time I fly with you. Yesterday you accepted a booking with a 1 hr Schiphol transfer, then before the flight from…","RT @astonbowles: @klm last time I fly with you. Yesterday you accepted a booking with a 1 hr Schiphol transfer, then before the flight from…",booking problems
Lufthansa adds #flights to #Tbilisi-#Munich trip https://t.co/7dx1EAlK3k,Lufthansa adds #flights to #Tbilisi-#Munich trip https://t.co/7dx1EAlK3k,in-flight experience
"Ultra luxe! 9 dagen in 5*-spa resort in Thailand slechts €663 inclusief ontbijt, KLM-vluchten en transfers… https://t.co/FRixr7kNq2","Ultra luxury! 9 days in 5* spa resort in Thailand only €663 including breakfast, KLM flights and transfers… https://t.co/FRixr7kNq2",in-flight experience
[Récit de vol] Un vol efficace en Business sur @AmericanAir avec @pititomFR entre Tokyo 🇯🇵 et @flyLAXairport 🇺🇸 :… https://t.co/STxTzRLJXv,[Flight story] An efficient Business flight on @AmericanAir with @pititomFR between Tokyo 🇯🇵 and @flyLAXairport 🇺🇸:… https://t.co/STxTzRLJXv,in-flight experience
Lufthansa offers technical support for South African carrier Comair https://t.co/gNYbjtlJH1,Lufthansa offers technical support for South African carrier Comair https://t.co/gNYbjtlJH1,technical difficulties
"RT @flight_report: [Récit de vol] Un vol efficace en Business sur @AmericanAir avec @pititomFR entre Tokyo 🇯🇵 et @flyLAXairport 🇺🇸 :

Siège…","RT @flight_report: [Flight story] An efficient Business flight on @AmericanAir with @pititomFR between Tokyo 🇯🇵 and @flyLAXairport 🇺🇸:

Seat…",seating and boarding challenges
Una mujer británica fallece dentro de un avión de Ryanair en el aeropuerto de Palma a causa de un infarto cardíaco. https://t.co/bSlmMzyzQe,A British woman dies on board a Ryanair plane at Palma airport due to a heart attack. https://t.co/bSlmMzyzQe,seating and boarding challenges
"@AmericanAir listen, I work today. get it together. this is the 3rd time our flight has been delayed.
thanks.","@AmericanAir listen, I work today. get it together. this is the 3rd time our flight has been delayed.
thanks.",flight delays and cancellations
"RT @asemota: Compare to the flight from San Francisco to London to the one between London and Accra. Same phone, same @British_Airways. htt…","RT @asemota: Compare to the flight from San Francisco to London to the one between London and Accra. Same phone, same @British_Airways. htt…",in-flight experience
RT @asemota: Why are the @British_Airways planes going to Accra filthy and old? This is a waste of money. https://t.co/PPBIzkbCUO,RT @asemota: Why are the @British_Airways planes going to Accra filthy and old? This is a waste of money. https://t.co/PPBIzkbCUO,refund complaints
They are scam artists...they will happily take your money and not provide the service 😕,They are scam artists...they will happily take your money and not provide the service 😕,customer service complaints
"RT @ukdoggingaction: ""Flashed my nipple on an Easyjet flight to Cyprus, gonna get fucked in the loo later""
#babe #flight #topless #public h…","RT @ukdoggingaction: ""Flashed my nipple on an Easyjet flight to Cyprus, gonna get fucked in the loo later""
#babe #flight #topless #public h…",in-flight experience
RT @RunVee2: Atterrati. Si accorge che si trova a Bari e non a Cagliari. 😂😂 #Ryanair volo Pisa - Bari https://t.co/yIHTk6GrUs,RT @RunVee2: Landed. He realizes that he is in Bari and not Cagliari. 😂😂 #Ryanair flight Pisa - Bari https://t.co/yIHTk6GrUs,in-flight experience
"@astonbowles If all your flights are booked in one ticket, you will be automatically rebooked to the next available… https://t.co/fkff6ymYn6","@astonbowles If all your flights are booked in one ticket, you will be automatically rebooked to the next available… https://t.co/fkff6ymYn6",booking problems
"Ryanair Boeing 737NG 8AS/W (EI-EMO, #4CA857) as flight #RYR1LB at 36000 ft heading north west bound OTT #RyanHQ","Ryanair Boeing 737NG 8AS/W (EI-EMO, #4CA857) as flight #RYR1LB at 36000 ft heading north west bound OTT #RyanHQ",in-flight experience
RT @theFliegerFaust: #Lufthansa Technik: Readiness to offer cabin completions for the #Airbus #A220 - #VIP #VVIP #BusinessJet #bizjet #aero…,RT @theFliegerFaust: #Lufthansa Technik: Readiness to offer cabin completions for the #Airbus #A220 - #VIP #VVIP #BusinessJet #bizjet #aero…,promotion and offer issues
"New seats onboard @lufthansa's 1st @Airbus A321neo (D-AIEA). Manufactured by Geven (Italy), the new seats will also… https://t.co/drAWXIhRI4","New seats onboard @lufthansa's 1st @Airbus A321neo (D-AIEA). Manufactured by Geven (Italy), the new seats will also… https://t.co/drAWXIhRI4",seating and boarding challenges
"RT @flight_report: [Récit de vol] Un vol efficace en Business sur @AmericanAir avec @pititomFR entre Tokyo 🇯🇵 et @flyLAXairport 🇺🇸 :

Siège…","RT @flight_report: [Flight story] An efficient Business flight on @AmericanAir with @pititomFR between Tokyo 🇯🇵 and @flyLAXairport 🇺🇸:

Seat…",seating and boarding challenges
@British_Airways Not one working toilet! We was offered hand sanitizer by way of water?,@British_Airways Not one working toilet! We was offered hand sanitizer by way of water?,promotion and offer issues
"Thanks a lot @VirginAustralia for your useless customer service. Leaves my bags in the rain, leaves me with no dry… https://t.co/SYDEdAwwTH","Thanks a lot @VirginAustralia for your useless customer service. Leaves my bags in the rain, leaves me with no dry… https://t.co/SYDEdAwwTH",customer service complaints
"Ryanair Boeing 737NG 800/W (EI-GDG, #4CABB8) as flight #RYR1FR at 38000 ft heading south east bound OTT west of #RyanHQ","Ryanair Boeing 737NG 800/W (EI-GDG, #4CABB8) as flight #RYR1FR at 38000 ft heading south east bound OTT west of #RyanHQ",in-flight experience
"RT @FerrovieInfo: ➡️ Il suo nome era legato anche al mondo dei trasporti.
#NikiLauda #Aerei #Ryanair #FlyNiki #LaudaAir #21maggio #Lauda ↙️…","RT @FerrovieInfo: ➡️ His name was also linked to the world of transport.
#NikiLauda #Planes #Ryanair #FlyNiki #LaudaAir #21st May #Lauda ↙️…",flight information requests
"@AmericanAir  buenos días American, hasta cuando me van a seguir ignorando. Aun no responden lo que me ofrecieron","@AmericanAir good morning American, until when are you going to continue ignoring me. They still haven't responded to what they offered me.",promotion and offer issues
"@Russell9999999 @A350Blog @Airbus @Qantas Check my @airinsight story for more info:
https://t.co/VunwloNLuE","@Russell9999999 @A350Blog @Airbus @Qantas Check my @airinsight story for more info:
https://t.co/VunwloNLuE",flight information requests
"@arwhibley That doesn't sound good, Alex. Let us see how we can help with this. Drop us a DM with as much info as p… https://t.co/6ZJmepk3OW","@arwhibley That doesn't sound good, Alex. Let us see how we can help with this. Drop us a DM with as much info as p… https://t.co/6ZJmepk3OW",flight information requests
@British_Airways I understand flights can not be held however advising already worried passengers that it will be t… https://t.co/yVpwxstCHi,@British_Airways I understand flights can not be held however advising already worried passengers that it will be t… https://t.co/yVpwxstCHi,in-flight experience
RT @BLRAviation: BREAKING: KLM to commence Amsterdam Bangalore flights https://t.co/etaLLFDN9Q,RT @BLRAviation: BREAKING: KLM to commence Amsterdam Bangalore flights https://t.co/etaLLFDN9Q,in-flight experience
"@Scott_mur84 Hi Scott, car seats are protected before they go into the hold in either a clear plastic wrap or bag ^R","@Scott_mur84 Hi Scott, car seats are protected before they go into the hold in either a clear plastic wrap or bag ^R",seating and boarding challenges
A billboard at London Piccadilly Circus is programmed to show a virtual boy standing up and pointing at actual… https://t.co/XKwc7g73iR,A billboard at London Piccadilly Circus is programmed to show a virtual boy standing up and pointing at actual… https://t.co/XKwc7g73iR,seating and boarding challenges
@VirginAtlantic Perfect so can just bring as is. Thanks for the assistance 👍,@VirginAtlantic Perfect so can just bring as is. Thanks for the assistance 👍,special assistance requests
"RT @KLM: @astonbowles If all your flights are booked in one ticket, you will be automatically rebooked to the next available flight if you…","RT @KLM: @astonbowles If all your flights are booked in one ticket, you will be automatically rebooked to the next available flight if you…",booking problems
RT @gtsulaia: Lufthansa adds #flights to #Tbilisi-#Munich trip https://t.co/7dx1EAlK3k,RT @gtsulaia: Lufthansa adds #flights to #Tbilisi-#Munich trip https://t.co/7dx1EAlK3k,in-flight experience
"RT @CltCurling: New @AmericanAir baggage policy is inclusive of #curling! In related news, whoever wrote said policy is either really funny…","RT @CltCurling: New @AmericanAir baggage policy is inclusive of #curling! In related news, whoever wrote said policy is either really funny…",baggage issues
"@AmericanAir I was assured by the customer service team that my complaint would be taken serious, resolved and rect… https://t.co/O6hWlJX2IW","@AmericanAir I was assured by the customer service team that my complaint would be taken serious, resolved and rect… https://t.co/O6hWlJX2IW",customer service complaints
RT @EtihadAirways: A new adventure is taking flight. Where will yours be? #Etihad787 https://t.co/gTR0xqbJdl,RT @EtihadAirways: A new adventure is taking flight. Where will yours be? #Etihad787 https://t.co/gTR0xqbJdl,in-flight experience
@AmericanAir I’m not sure who I need to contact to file a complaint.,@AmericanAir I’m not sure who I need to contact to file a complaint.,customer service complaints
"Really, @AmericanAir? Delay due to tardy gate agents? Unacceptable. #AA2039","Really, @AmericanAir? Delay due to tardy gate agents? Unacceptable. #AA2039",flight delays and cancellations
"Still at the gate in dfwairport. Starts like this, americanair usually informs that there is a small delay of 15 mi… https://t.co/S3Hc37b4Di","Still at the gate in dfwairport. Starts like this, americanair usually informs that there is a small delay of 15 mi… https://t.co/S3Hc37b4Di",flight delays and cancellations
Hey @British_Airways. Just on your plane to Madrid. And sure we heard playing in the plane as we boarded R Kelly's… https://t.co/4amlIuKqQS,Hey @British_Airways. Just on your plane to Madrid. And sure we heard playing in the plane as we boarded R Kelly's… https://t.co/4amlIuKqQS,seating and boarding challenges
@lufthansa i paid to reserve seats for me and my family . Unfortunately I receive email from Lufthansa saying we ch… https://t.co/M3ZhBbllP4,@lufthansa i paid to reserve seats for me and my family . Unfortunately I receive email from Lufthansa saying we ch… https://t.co/M3ZhBbllP4,seating and boarding challenges
Flynn helps with breakfast service.  @airfrance https://t.co/UxCEONu0tY,Flynn helps with breakfast service.  @airfrance https://t.co/UxCEONu0tY,customer service complaints
@SingaporeAir trying to upgrade a flight online but I get an error. The name on my booking is the same as my KrisFl… https://t.co/fbRaTmRxIv,@SingaporeAir trying to upgrade a flight online but I get an error. The name on my booking is the same as my KrisFl… https://t.co/fbRaTmRxIv,booking problems
"RT @Ian_Okus: Gavivina, money is sweet 😍😍😍 https://t.co/4jLWbNuEga","RT @Ian_Okus: Gavivina, money is sweet 😍😍😍 https://t.co/4jLWbNuEga",refund complaints
"RT @flight_report: [Récit de vol] Un vol efficace en Business sur @AmericanAir avec @pititomFR entre Tokyo 🇯🇵 et @flyLAXairport 🇺🇸 :

Siège…","RT @flight_report: [Flight Report] An efficient flight in Business on @AmericanAir with @pititomFR between Tokyo 🇯🇵 and @flyLAXairport 🇺🇸 :

Seat…",seating and boarding challenges
